State,Abbreviation,City,crime_index,traffic_index,pollution_index,health_care_index,rent_index,property_price_to_income_ratio,safety_index,cpi_index,Code,lakes_count,parks_count,population,min_wage,quality_of_life
Ohio,OH,Cincinnati,48.374572978036454,120.34769493081323,43.82116225553378,68.77240143369175,36.2865804875546,2.4024532643280336,51.625427021963546,63.62840044501814,OH,5,31,296980,8.7,194.59
Indiana,IN,Clay township,45.16438898791839,128.58371708568978,30.229885057471268,61.66666666666666,39.43389105677416,3.2701325679226465,54.83561101208161,71.46423395500165,IN,0,108,83903,7.25,224.59
Kansas,KS,Kansas City,44.36274509803922,116.72267349923487,36.637931034482754,66.66666666666667,29.12661107956855,2.723526368204615,55.63725490196078,76.7259993122991,KS,0,138,145878,7.25,237.92
Virginia,VA,Lynchburg,27.058823529411764,168.87127570291472,1.7241379310344829,65.74074074074073,25.848039932805772,3.9663306200808557,72.94117647058823,75.15638917348923,VA,4,38,75548,7.25,242.71
Washington,WA,Auburn,55.73923199481497,193.4327990909106,38.19970728963018,68.91750071355335,72.23605936474044,2.9067749347258482,44.26076800518503,71.04714016642635,WA,4,23,70560,13.5,147.7
Ohio,OH,Dayton,66.50326797385621,90.90041680358,22.316297208538586,71.2962962962963,26.046213050599565,2.6482801145776933,33.49673202614379,63.20311612762705,OH,5,116,142348,8.7,200.24
Kentucky,KY,Louisville/Jefferson County metro government,26.498868778280542,135.49755934563484,39.70306513409962,64.09932659932659,23.283178661129863,1.8925250571214538,73.50113122171948,70.13984729135697,KY,8,13,742054,7.25,242.87
Texas,TX,Austin,35.428450656996034,161.4110475431414,36.2667487769947,70.68610083864694,50.18457204340368,3.706640971688686,64.57154934300397,63.30040390760618,TX,4,52,806164,7.25,233.74
California,CA,Camarillo,13.480392156862745,202.87480739781262,12.06896551724138,72.63374485596708,65.57142293525544,3.5189183813949585,86.51960784313725,66.58015400080909,CA,8,33,65257,13.0,269.68
Pennsylvania,PA,Pittsburgh,37.76841670398489,175.26497667250408,45.29759174326857,74.84084799608993,36.51956712166364,2.365094697468792,62.2315832960151,78.95353311022765,PA,6,16,305283,7.25,191.47
California,CA,Upland,46.470588235294116,128.84010689669083,8.620689655172415,94.44444444444444,54.06955038759589,9.16955410590944,53.529411764705884,69.8154959116778,CA,1,79,73884,13.0,237.0
New Jersey,NJ,Cherry Hill township,38.812103788883974,133.17449828338155,49.22150852678236,63.62403341570008,34.20576874902892,3.111454149145627,61.187896211116026,71.80202905945208,NJ,6,76,70760,11.0,214.94
Ohio,OH,Columbus,43.43155619190465,120.21067044176192,25.317379138574395,74.1910742825377,32.61521282555828,2.334945784813227,56.56844380809536,73.06720469859552,OH,1,43,790943,8.7,232.0
North Carolina,NC,High Point,67.27941176470588,88.33792637694663,30.17241379310345,59.72222222222222,65.07025648034042,6.813545816770447,32.72058823529412,67.02141152931146,NC,6,17,104710,7.25,168.48
Illinois,IL,Lisle township,39.73807309485059,119.63895927650013,39.57307060755336,62.4894781144781,30.925077552616536,2.93129785537247,60.26192690514941,73.18906711815586,IL,4,126,116400,10.0,241.22
Massachusetts,MA,New Bedford,76.17647058823529,120.54946329214728,82.75862068965517,55.555555555555564,33.73434721746974,11.055186069742101,23.823529411764714,72.44939550951023,MA,8,118,95059,12.75,108.91
California,CA,Newport Beach,18.13725490196079,412.65674710965203,14.224137931034482,91.11111111111113,106.376196945457,7.612517107646272,81.86274509803921,70.31891570478275,CA,3,81,85329,13.0,185.23
Kansas,KS,Shawnee,26.568627450980397,95.74416611016113,9.688013136289001,86.94444444444444,34.161636407908496,2.2832330029673167,73.43137254901961,63.86738235392112,KS,9,54,62311,7.25,296.25
Texas,TX,Sugar Land,9.938725490196077,124.49361597109284,1.7241379310344829,84.25925925925927,38.059105042457716,0.9059758203254488,90.06127450980391,57.64023894373593,TX,7,39,108403,7.25,325.55
Massachusetts,MA,Waltham,11.644385026737964,189.66191351288563,24.13793103448276,66.66666666666667,59.47036290430065,4.8853579197842025,88.35561497326205,66.2518621526902,MA,8,25,60889,12.75,263.99
Wisconsin,WI,Appleton,41.558998599439775,127.86384641460276,15.632183908045974,71.94444444444444,23.09404016952505,1.8311817034029945,58.44100140056022,68.76112448706503,WI,4,124,72704,7.25,249.82
Michigan,MI,Livonia,52.37079831932773,132.9256173262787,8.620689655172415,47.22222222222222,37.085476906005134,2.211031790369779,47.62920168067227,76.03915903155094,MI,2,76,96627,9.65,202.78
Massachusetts,MA,Newton,11.644385026737964,189.66191351288563,24.13793103448276,66.66666666666667,59.47036290430065,4.8853579197842025,88.35561497326205,64.96793950805102,MA,0,118,85373,12.75,291.48
North Carolina,NC,Cary town,33.34401260504202,154.17279182878414,31.81034482758621,51.083333333333336,56.934814568775,5.570902241110943,66.65598739495799,82.87781322816004,NC,1,64,137086,7.25,227.66
