State,2020 Minimum Wage,2021 Minimum Wage
Alabama,7.25,7.25
Alaska,10.19,10.34
Arizona,12,12.15
Arkansas,10,11
California,13,14
Colorado,12,12.32
Connecticut,12,13
Delaware,9.25,9.25
District of Columbia,15,15
Florida,8.56,10
Georgia,5.15,5.15
Hawaii,10.1,10.1
Idaho,7.25,7.25
Illinois,10,11
Indiana,7.25,7.25
Iowa,7.25,7.25
Kansas,7.25,7.25
Kentucky,7.25,7.25
Louisiana,7.25,7.25
Maine,12,12.15
Maryland,11,11.75
Massachusetts,12.75,13.5
Michigan,9.65,9.87
Minnesota,10,10.08
Mississippi,7.25,7.25
Missouri,9.45,10.3
Montana,8.65,8.75
Nebraska,9,9
Nevada,8,8.75
New Hampshire,7.25,7.25
New Jersey,11,12
New Mexico,9,10.5
New York,11.8,12.5
North Carolina,7.25,7.25
North Dakota,7.25,7.25
Ohio,8.7,8.8
Oklahoma,7.25,7.25
Oregon,12,12.75
Pennsylvania,7.25,7.25
Rhode Island,10.5,11.5
South Carolina,7.25,7.25
South Dakota,9.3,9.45
Tennessee,7.25,7.25
Texas,7.25,7.25
Utah,7.25,7.25
Vermont,10.96,11.75
Virginia,7.25,7.25
Washington,13.5,13.69
West Virginia,8.75,8.75
Wisconsin,7.25,7.25
Wyoming,5.15,5.15
